# cv      v
1.921594440937042236e-01 4.906094730649280825e-35
8.780932426452636719e-01 -4.906094730649280825e-35
1.564027070999145508e+00 2.453047365324640413e-35
2.249960899353027344e+00 3.992452122843489576e-30
2.935894489288330078e+00 4.678811484420086777e-14
3.621828556060791016e+00 3.360705268044438939e-14
4.307762145996093750e+00 7.321859583760502878e-13
4.993696212768554688e+00 1.028824465685108730e-09
5.679629802703857422e+00 8.348790181264799723e-06
6.365563392639160156e+00 2.487683351371853743e-02
7.051497459411621094e+00 -4.975601755258757947e-02
7.737430572509765625e+00 2.087878548398906520e-01
8.423364639282226562e+00 -3.001890995882547375e-01
9.109298706054687500e+00 1.162720789674148159e-01
9.795232772827148438e+00 0.000000000000000000e+00
1.048116588592529297e+01 4.323323583816937044e-01
1.116709995269775391e+01 -4.323323583816935933e-01
1.185303401947021484e+01 0.000000000000000000e+00
1.253896713256835938e+01 -3.160602794142788330e-01
1.322490119934082031e+01 6.321205588285576660e-01
