# cv      v
-9.492895603179931641e-01 9.602680054508675555e-24
-8.493721485137939453e-01 1.271832823592434663e-13
-7.494547367095947266e-01 -2.520371216603392185e-13
-6.495374441146850586e-01 3.792505457918191133e-10
-5.496200323104858398e-01 -6.187803087046719113e-10
-4.497026801109313965e-01 4.793092335042981958e-10
-3.497853279113769531e-01 2.008090595577809009e-08
-2.498679459095001221e-01 1.119309110844568276e-07
-1.499505937099456787e-01 -2.852016921434917053e-07
-5.003321915864944458e-02 1.539798575333156511e-07
4.988414794206619263e-02 1.508909463928825877e-07
1.498015224933624268e-01 -2.972567538182502153e-07
2.497188746929168701e-01 1.377211805218959200e-07
3.496362566947937012e-01 7.614990697919203388e-09
4.495536088943481445e-01 6.942273719714428768e-12
5.494710206985473633e-01 -1.388704424551012159e-11
6.493883132934570312e-01 6.943886603942751812e-12
7.493057250976562500e-01 8.532660225981197619e-17
8.492231369018554688e-01 -8.532853925862631711e-17
9.491404294967651367e-01 8.533047625744065802e-17
