# cv      v
3.250205516815185547e+00 3.037484743850101228e-159
1.273883247375488281e+01 3.934224079539301230e-63
2.222746086120605469e+01 2.093196999644247154e-51
3.171608924865722656e+01 4.927077343055628735e-34
4.120471572875976562e+01 5.265308678775920336e-21
5.069334411621093750e+01 1.159656108948209392e-16
6.018196868896484375e+01 2.554312567013946931e-12
6.967059326171875000e+01 1.130159594517475257e-06
7.915922546386718750e+01 -1.844562492884756388e-06
8.864785766601562500e+01 3.369272135527120755e-03
9.813648223876953125e+01 -6.714831269844672747e-03
1.076251068115234375e+02 1.248139301414733816e-02
1.171137390136718750e+02 -9.135119479485847432e-03
1.266023635864257812e+02 1.747819011413540569e-01
1.360910034179687500e+02 1.412783782729247761e-01
1.455796203613281250e+02 -7.483926377959724263e-01
1.550682373046875000e+02 8.646647167633872977e-01
1.645568847656250000e+02 -7.483926377959724263e-01
1.740455017089843750e+02 3.160602794142788330e-01
1.835341186523437500e+02 0.000000000000000000e+00
