# cv      v
-8.024213314056396484e-01 -1.265991719483888437e-14
-7.246543169021606445e-01 1.529511665787473290e-07
-6.468874216079711914e-01 2.239406256074272524e-05
-5.691205263137817383e-01 2.484828720532973947e-02
-4.913535416126251221e-01 1.341753521827384610e-01
-4.135866165161132812e-01 -3.180923728035783826e-01
-3.358196616172790527e-01 3.180923728035783826e-01
-2.580527365207672119e-01 -1.590461864017891913e-01
-1.802857816219329834e-01 -1.162720789674148159e-01
-1.025188490748405457e-01 4.860443734910932512e-02
-2.475190907716751099e-02 6.766764161830463031e-02
5.301503092050552368e-02 8.569542157710064999e-16
1.307819783687591553e-01 4.082557403974225144e-116
2.085489034652709961e-01 3.061271782914818910e-82
2.863158583641052246e-01 2.390446441942734411e-25
3.640827834606170654e-01 6.943971932481532234e-12
4.418497383594512939e-01 2.269995099329856210e-05
5.196167230606079102e-01 -3.704907242339009035e-05
5.973836183547973633e-01 5.998266645541281843e-06
6.751505136489868164e-01 1.670169568115663123e-05
