#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100,16.859827494942756,85.0476619292411
200,62.60253930597615,128.0900561254385
300,72.34413638707186,172.90668836515962
400,116.47935294452293,202.3998461177112
500,102.93186025692029,234.773772817007
600,158.96160177846932,237.6549136547284
700,159.54396387088937,258.50741339442806
800,168.58888441417025,286.84799126962037
900,179.16048874212822,295.19628065319887
1000,187.36699036779186,275.7786116859583
1100,175.45690735114087,294.36665085156596
1200,193.37278998540197,280.90834945027586
1300,172.88661377143055,303.3541231865485
1400,232.5571623721869,274.0786098658103
1500,190.80740400312476,298.5718939571874
1600,256.5078506806021,295.2919423674049
1700,244.21371890484818,314.90170033342287
1800,259.9634933777446,306.6205223192032
1900,255.0578853102552,319.91611066574706
2000,248.66194859202352,322.7297656467941
2100,254.99662650060367,318.34873637212223
2200,245.30090956726877,310.0660706926959
2300,291.5228813851177,298.85353545224933
2400,237.06594263028438,316.7793639627089
2500,236.64010524165067,283.90611952242824
2600,230.3087686160973,290.6156013530467
2700,227.0817887900555,289.7646957146247
2800,230.66154628532408,292.7944464343788
2900,230.54957682800193,324.8978597910373
3000,294.56586575696446,324.4172612008351
3100,201.6602012098612,355.5009543240131
3200,298.6213265892676,321.4110930411104
3300,228.25891382787773,336.5276856261882
3400,229.83677527779147,320.4823750397983
3500,245.10452934856218,318.4596534613515
3600,210.45627566331765,317.9163795913803
3700,236.95415253341508,325.53906052891085
3800,206.648635061469,341.79880080331566
3900,236.10635238987697,323.6898283712731
4000,218.45460483934167,336.9205744413165
4100,286.4963313813664,300.4369870033207
4200,222.44995719324427,326.9578921081657
4300,257.89712116303986,299.58134263141227
4400,231.72071789747847,297.7686025819931
4500,267.3545873163452,277.537983551944
4600,261.1127295012562,284.5920241812421
4700,240.4244837961186,293.09875921090156
4800,263.6549562996112,294.6743878678101
4900,223.4820928077362,301.8912665303729
5000,248.48051236304454,298.6802021554367
5100,248.45711396325717,298.0768791918047
5200,222.17006522201686,292.76351531144195
5300,276.58479119138684,298.37434722535613
5400,232.42444534502576,329.2720422734849
5500,291.20938544368556,289.98800998325737
5600,205.78305719364076,332.8306812090345
5700,267.9521659229143,304.73077741466966
5800,217.83672259401592,322.3282562841106
5900,266.5362896763259,304.0850263723512
6000,238.46531554352248,316.5908989138187
6100,255.93199218481152,285.4566469828342
6200,219.7984788555719,316.3037435285872
6300,273.5060692238603,289.0576688051627
6400,192.89342072758328,320.7481944009376
6500,267.99041456721113,310.90207848455003
6600,239.29389442758625,299.92316632818324
6700,254.72779386749633,305.8977549726586
6800,275.24684337683027,328.0281149462424
6900,234.02367319876285,322.3406665517366
7000,251.4076886712735,304.2307895921296
7100,250.04860338891734,306.1284767465156
7200,244.64039312070494,320.82040166414146
7300,238.7172700458674,320.16231860249485
7400,258.47898183941464,316.93927516560916
7500,248.36806390211584,321.5231827397977
7600,248.8786944145297,343.45595439246694
7700,272.3074263021421,315.3454150072857
7800,264.35963113559916,308.2688383537619
7900,243.31721327970652,312.0174698398466
8000,253.0837351453798,295.31647208914376
8100,211.46036918107174,288.39967631078446
8200,219.12531192267093,288.6300854692826
8300,197.9711184042065,302.70461647467675
8400,224.56486965300286,294.90460467288653
8500,227.42256407383084,288.8053288181269
8600,224.25588687211967,263.4119317014214
8700,219.4275442550893,259.2173179273423
8800,235.5871971369503,258.62730126762136
8900,212.47629817060778,270.2080962349756
9000,222.3942885851167,275.80432394700824
9100,231.266284876545,296.2740578761458
9200,245.25181102644376,287.9579651467162
9300,218.91149823238794,297.71942279448206
9400,237.5946699270288,288.44216256419924
9500,204.36211060884781,311.89647720144495
9600,282.39889026075235,255.9513080529876
9700,217.76136179453962,295.4002371467508
9800,229.24754534462707,284.802551507853
9900,250.4030067036715,276.4502720647452
10000,217.0216811502186,297.35674784856707
10100,217.27387729525546,301.3217004637853
10200,234.17478032598265,293.79363825452583
10300,226.74201371875472,281.75792685877053
10400,180.42641589906015,297.321191992854
10500,245.6667531084546,286.0713922626137
10600,194.48515855479278,313.1620209786493
10700,213.09735626090426,286.32503678113056
10800,206.95787096912306,300.641939719261
10900,224.41752725564172,302.0969885408719
11000,231.76104267023746,315.3548076733296
11100,194.1920312408098,297.03438082969944
11200,225.79826777174583,283.5988728269135
11300,237.5506452962594,290.6431498956495
11400,215.9207873415924,294.9025573928985
11500,250.93625016479484,303.08993633641245
11600,236.63879941560722,279.9770303601729
11700,240.7803180587781,295.44802587839257
11800,224.06170365081712,289.36613409522505
11900,261.2609936810801,301.12030051967696
12000,237.08565547897533,331.43666690202184
12100,288.21540152514837,292.56583348227645
12200,199.41674971546286,325.2756616197012
12300,282.8389406170857,292.99586154234527
12400,226.81994205750334,351.53482495602185
12500,249.31005433815713,310.21321724551416
12600,216.691872916009,300.94874312078707
12700,223.31908149833617,305.06559771546705
12800,234.47587150855153,288.22304213018754
12900,198.86853121173536,287.0863528200135
13000,231.88253947847508,269.0921926228694
13100,217.6859537318541,302.82151059255466
13200,229.01788051381982,291.1658950346081
13300,256.7552256864078,287.8461536151128
13400,228.80571185623594,289.1338492743334
13500,246.0394208356649,286.17957382764166
13600,248.73059034539358,287.98561099936325
13700,255.34485203152371,293.33036541781024
13800,250.61752408644432,314.5980404365212
13900,247.96798410575855,309.95145371133435
14000,237.0139446057758,310.9948892210634
14100,245.3324106080977,310.9985687079046
14200,247.78252976797765,301.1080942203038
14300,232.43224908704678,285.3513370651525
14400,202.13576338375594,269.4443924600689
14500,200.7879801977696,242.99138403938102
14600,194.0669486263434,273.9543224244751
14700,209.15466582504965,292.6795737485395
14800,233.05737122405935,291.6527274919965
14900,218.06203078274115,303.920957759571
15000,251.22779430344286,274.75631164941007
15100,201.32843952360471,279.3854263833317
15200,264.29042401171074,278.26428623461356
15300,262.5536833435331,323.41845131165434
15400,233.86979684016373,345.38954465025495
15500,274.8539513320554,299.28695842372383
15600,238.1719455880566,320.4058398114081
15700,283.25979504536355,314.9736302967375
15800,247.76496075071782,309.8463036355259
15900,243.78280760154075,293.3547546678065
16000,248.27868060188882,287.29334254720845
16100,231.02755229122016,289.9654898260288
16200,284.09222850022985,258.16093436111737
16300,221.6860417412925,283.74293790687005
16400,258.290097022942,278.1229635396854
16500,217.97227246756788,307.1980416752013
16600,236.05763606159763,286.5366728069644
16700,229.26338588555362,286.1567952451403
16800,207.34615952540702,305.62146462543916
16900,199.47251964408355,296.63120220750164
17000,232.8046391298291,292.5034934627668
17100,241.4764614745542,286.91538763373075
17200,220.50024950583003,304.7049419633203
17300,232.30066093752365,289.9327740484338
17400,191.66020582797037,295.4926414715772
17500,223.49140776534878,288.4929509438354
17600,218.40169496950918,289.0254971948985
17700,197.88072990724265,301.7202477477977
17800,227.54734897176988,313.262010039949
17900,217.46679205242694,315.95438395461895
18000,218.46707148158808,280.9250209345948
18100,219.99960423964356,306.0906806000754
18200,227.3178890934093,308.67799618106005
18300,221.2526133270918,318.2669539190779
18400,248.99383327622087,316.5961131077188
18500,212.5387570475577,307.17615164027944
18600,240.96962770037408,285.3601279647741
18700,214.9997706852715,307.07849845664197
18800,269.12052319910646,272.32765298477955
18900,222.68546862217465,278.40298497630926
19000,246.33128408541398,290.7895339880687
19100,236.5183518413895,290.3612906709553
19200,212.45374408660513,300.6753965775214
19300,238.03827832718875,300.73097094406717
19400,185.13479977052813,317.7128149927695
19500,213.87669688496072,304.28428692585595
19600,207.54660366824882,339.5676884641181
19700,241.7317590017297,342.62278956806256
19800,226.96223963435955,357.5411485334834
19900,220.05678850473308,350.09560367265857
20000,243.35885893360788,320.6372804855925
20100,240.31586630114492,299.3708539747462
20200,222.58876321988998,286.52708050322525
20300,232.07749441324773,279.7007904962974
20400,230.61538419016932,294.3838854780968
20500,249.9063351453505,281.9617697251219
20600,181.7969391963703,282.0888470129252
20700,228.50608422184828,289.1922442854198
20800,240.53044345587674,277.6754332446288
20900,234.13954573290505,282.11276333336536
21000,242.18650986241755,273.934672972752
21100,210.91677722661447,286.866198507447
21200,255.03740806873304,291.93796671397973
21300,219.29703799051484,296.37050985820076
21400,223.97167837142032,304.3445305402407
21500,247.60150399919507,301.7865866178514
21600,213.37583215326538,315.66012529490763
21700,229.93569291952215,294.6398364407487
21800,227.16986836753804,276.4572137915469
21900,199.66492019958812,279.1821643967538
22000,203.29303681914845,275.17502552190433
22100,227.95660540993302,293.71312072827794
22200,196.79789938485305,297.51577414517504
22300,213.5343278180089,296.85517193555694
22400,245.66943008352678,293.6593317326427
22500,213.67538147449164,289.6509896614056
22600,247.1628368675024,271.82183924624593
22700,246.7890663346169,280.7729803628149
22800,213.60335204950573,295.5390540440506
22900,258.2109618566586,308.9807229363125
23000,282.32517112083934,303.14325865869404
23100,198.07024244517066,306.2796995895431
23200,254.35130359435612,269.5092759313627
23300,210.61381264736212,307.0985249688869
23400,300.65405182025165,289.4156525249215
23500,257.52308150231306,335.9975153893943
23600,275.23305802515813,312.58997052764545
23700,267.9241282220786,288.29292355843666
23800,249.34179517477008,296.2821978378378
23900,246.08021404174048,306.5256912414474
24000,207.59409815263024,298.92738619969674
24100,247.25303415521464,282.1648491016913
24200,208.64987859313985,310.87373853847606
24300,232.62988982467203,299.6519077799214
24400,254.07257425141097,307.31148543656053
24500,219.82823498294175,327.2092695155695
24600,276.5876619890339,298.4083541800146
24700,215.1970211835365,317.24492595393536
24800,251.28409843237552,294.4075658598012
24900,219.3541663924263,289.40474990067537
25000,218.17974976783458,292.57061704131723
25100,217.2974792460505,268.03050479531265
25200,183.12581250712097,282.3264697275545
25300,184.41163147389392,274.5147522668448
25400,188.83065680286245,270.59718902548155
25500,198.83566353593739,274.1867415232507
25600,223.33028708336235,267.8938513107515
25700,200.79426354103737,280.9852111246837
25800,216.3232059670118,294.1135453553601
25900,256.72414455957323,293.74397033079134
26000,252.31788982204066,298.7080561320777
26100,225.3724160903018,291.1996636476346
26200,233.41688668634634,281.37223054716213
26300,204.5125813152672,277.4213812376839
26400,229.20661598024353,259.589928138797
26500,209.69180477473364,277.0733998519168
26600,238.06903914303047,276.8307268817814
26700,275.6041272850489,279.67050738182184
26800,215.01129258841777,311.9794524168959
26900,265.3909584535075,279.53271053261767
27000,226.2650992544581,323.33532399692206
27100,225.95525883654543,295.55014778784783
27200,248.27379167909936,304.6079763303346
27300,246.436536729308,303.8935247506628
27400,251.51543006543412,316.4624638268864
27500,233.32802419080195,306.7757922830886
27600,242.45982954328602,314.8226529287937
27700,258.6741473451918,323.3825973433536
27800,233.94429454375407,314.8082539395947
27900,235.82262854249132,288.3615121043329
28000,231.72829396973157,312.098810502864
28100,195.52701264387292,301.4161748825175
28200,228.23230560510189,294.0227323386517
28300,234.71050336232454,289.00662565999824
28400,197.37241149619695,315.4517096950021
28500,243.35195830136195,302.2986777689526
28600,245.38508318995935,308.81200936814196
28700,220.77439972503413,297.7236420376515
28800,230.28610259547588,295.2159997850082
28900,268.8619821014279,285.4913214760916
29000,222.6340321286734,298.3065890724682
29100,239.87819819165114,299.723709910985
29200,241.99213137906378,292.31847381997807
29300,219.80015310740768,300.2604486431072
29400,238.95463126595718,292.71188992713644
29500,256.3372111130377,298.084837477835
29600,228.6145123242179,308.5836053737387
29700,223.9304499125702,300.7767985297534
29800,226.78708095747785,295.0806431432558
29900,200.25361740125322,294.7355061154065
30000,212.47596507254545,277.29712910156053
30100,209.5841888174541,296.0539756640895
30200,216.2131551124528,289.88276502345946
30300,246.71731210896374,264.0878853289585
30400,197.53322557301126,282.68280065046474
30500,219.26904861325409,279.11638104853535
30600,205.6144055969007,269.8443281466577
30700,199.15400672812925,270.56643459505597
30800,201.72548607294624,275.39439065724594
30900,212.93266020613106,294.1760071678661
31000,256.21624370376645,289.3139984094251
31100,229.90944285870424,296.2354431648006
31200,240.81062238014346,279.52492617120856
31300,193.55840505690355,302.5352999021844
31400,240.33203283488865,289.12674699195435
31500,196.50183514013852,310.36513773566406
31600,253.53716650824353,295.5006504236066
31700,210.19118963409613,306.1733337460992
31800,270.3280035221749,275.6671192584739
31900,198.96130160582769,299.1526029244691
