#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100,-362.5226876228973,99.18172800728014
200,-338.5959016412085,170.02411668631808
300,-333.61921155253776,213.75949325020326
400,-319.7395933273444,248.25997359893276
500,-328.1549830901427,259.25996459022946
600,-323.32181997778486,270.248480826823
700,-317.69017699392555,279.336382241721
800,-313.04565745264193,280.6077170817077
900,-290.35309893940007,284.24972714295586
1000,-323.1519984178671,291.46455703510935
1100,-306.2008562503093,291.2868405817543
1200,-316.75907025544024,294.25012486349584
1300,-312.2102365815658,295.9636044115171
1400,-318.2307413425013,297.5353598220003
1500,-330.6494369013302,298.08635615260795
1600,-345.3161103025248,300.989398079067
1700,-334.364081152781,294.8329249728727
1800,-321.8205815048507,292.3519530991521
1900,-316.3989376977566,287.3604064690942
2000,-320.923766563632,290.2097563561949
2100,-323.76535341984925,296.48456364917274
2200,-322.15290258061844,307.9144318965
2300,-334.0101412080466,304.30321855836064
2400,-328.656096682309,304.58748872253585
2500,-340.5842778631262,304.3638849569538
2600,-334.7065832764495,306.68028629410736
2700,-318.3046272769828,302.7480334318577
2800,-347.5750935062342,309.9407417922269
2900,-326.61815733109944,305.3085343983865
3000,-325.474989071048,307.194538501947
3100,-324.6862523574085,297.28216871952077
3200,-329.3869244953866,303.57503477257495
3300,-332.2156156093425,290.9663204509805
3400,-330.7305139709056,282.68006157000525
3500,-317.541903178377,294.06031098180483
3600,-279.102062251262,297.6975296315321
3700,-316.0149262492318,293.1205790119682
3800,-309.85939681474093,292.1933609261084
3900,-298.1268641667236,297.75560441737457
4000,-314.6323096302067,300.79434110617603
4100,-308.1438018957445,307.00547766682206
4200,-299.48946278780625,314.03101637380263
4300,-300.9664835132551,305.5433322482337
4400,-295.903630853918,304.17722158842656
4500,-300.46973358161995,300.2681236156842
4600,-289.5942309724808,299.94326136771286
4700,-278.1601663398197,296.33950748704495
4800,-281.9354567517068,297.22344591439474
4900,-274.1316787592172,306.6225524176521
5000,-280.1454082625175,291.42997068039875
5100,-280.9927626306033,298.31621427672275
5200,-290.39265022308473,302.5849185229648
5300,-280.74715148033016,299.50069669415035
5400,-295.06520302008886,296.193160759066
5500,-287.48237994302235,304.4358607075142
5600,-295.78074170137023,302.056882102854
5700,-299.86154351694677,294.44965578446664
5800,-299.8138043726013,296.2976050756958
5900,-302.17781139215725,300.2971135473278
6000,-287.4687284354569,293.81665256628685
6100,-291.18235274569423,296.7565308096208
6200,-289.02494680899895,301.68317827227173
6300,-283.37012520506073,302.5275686594769
6400,-284.86355923611063,304.5327031803114
6500,-274.1046355697969,303.80306409554134
6600,-300.48276125973763,306.28350452840994
6700,-282.41902624156495,309.1327766080877
6800,-267.8316294687572,313.27853018436633
6900,-293.50090736609474,314.9548542063295
7000,-303.52813174253777,315.784245892893
7100,-293.6546162259196,309.91428563587795
7200,-298.6851394591816,305.79425536356547
7300,-291.002070160138,310.90116390701365
7400,-301.2275234589693,303.2390671817656
7500,-320.896530299688,297.901512487611
7600,-307.35624131647324,297.33610342633375
7700,-296.6713541065689,283.98259599514216
7800,-295.819083533363,279.1634666772808
7900,-316.4288679805564,283.3418457984729
8000,-289.4108943255325,289.4032099667438
8100,-310.6875947411249,288.7772386806923
8200,-296.50737139436563,307.47136424143184
8300,-310.78347166051776,293.07889281425696
8400,-288.16924041318657,296.2117799253271
8500,-316.6437740179352,293.6614336122325
8600,-313.4431280344783,284.5551222486699
8700,-328.69653416061726,289.52750613059493
8800,-324.54543332589844,295.3729809437112
8900,-318.0668476882034,305.2030488343987
9000,-328.28837136639214,302.8084292752768
9100,-325.602628984152,288.9023260624349
9200,-321.9238201822786,287.97451870918616
9300,-338.0120897250893,304.39993892100256
9400,-330.8061004953144,300.60703814569587
9500,-327.2103179067986,294.7351748367892
9600,-318.2247504613576,289.43228809114515
9700,-319.4345810717675,288.81004602571994
9800,-317.70743291628196,287.9362154445239
9900,-320.0781795788089,299.7858395591102
10000,-315.3732991599006,304.8009763958352
10100,-325.7143371820055,309.0171369757991
10200,-302.7611416656493,306.16628420209923
10300,-310.19620180382617,300.8519211247432
10400,-304.07817586688157,302.24185607728276
