#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100,-18699.10875379826,56.62452173207301
200,-18240.166527781355,100.1340824429228
300,-17891.419374595498,136.96034717766824
400,-17603.45203711579,167.48622680707044
500,-17266.07398382744,179.9777639301707
600,-17128.26066674168,208.66277851519646
700,-16934.654358519518,220.77451312104282
800,-16900.404199433786,232.09184027524822
900,-16654.172562823383,228.4843505038449
1000,-16551.944105773007,237.19279988683033
1100,-16430.17439204609,250.11201423013063
1200,-16401.635816909387,259.0518585331585
1300,-16341.063779110671,258.1970946766979
1400,-16222.854967465446,258.5103935619005
1500,-16159.611675526046,267.1429946632459
1600,-16157.186221173519,289.88026210999885
1700,-15901.219786212318,271.38857469327525
1800,-16002.771507035077,288.552892377663
1900,-15837.91120452687,277.07173304026014
2000,-15751.396918898232,273.3249837808902
2100,-15607.621905726415,280.32214928211704
2200,-15761.645819630785,291.82933523489163
2300,-15711.27737014183,294.642943657177
2400,-15706.58270249302,293.38413086993563
2500,-15530.179775537494,279.7733305249988
2600,-15752.478737409678,300.630762199766
2700,-15459.008532500542,288.9534035342173
2800,-15489.144040316509,305.40775976171557
2900,-15321.089883961147,285.81012162494454
3000,-15495.150450893812,293.1778980675044
3100,-15507.276243807344,291.1712756624361
3200,-15364.077318421108,281.46554062169207
3300,-15519.116827765665,285.0517977025735
3400,-15619.57868214865,287.9702594018648
3500,-15508.389259039333,272.24137823925577
3600,-15500.624619736936,287.1076138874948
3700,-15380.756428177652,282.1738384189916
3800,-15499.016431526406,284.22755780221996
3900,-15551.752464727726,303.5670099041633
4000,-15331.010718026078,286.71852522487956
4100,-15468.632747436372,307.82546921666943
4200,-15365.315172641938,293.7510405565321
4300,-15349.699494798031,298.0944522769504
4400,-15319.783508804227,299.96946909360923
4500,-15381.702975269369,308.4885780877799
4600,-15356.34030919246,301.4403137782447
4700,-15312.34851654086,301.3883614910058
4800,-15319.10296806054,302.8026451319147
4900,-15410.20071249341,292.2038457808062
5000,-15607.52548448817,303.5288179820483
5100,-15646.899909544389,305.10018964808376
5200,-15512.52558335242,300.89723259145785
5300,-15501.097564900247,302.0000461088461
5400,-15368.849490786726,290.15991074726804
5500,-15567.286671451968,308.33521841398425
5600,-15417.751812833549,299.7687783680173
5700,-15381.966413622264,310.603401031106
5800,-15205.120149927583,287.07038310761016
5900,-15371.009417493595,301.47393508565045
6000,-15408.059001122268,297.9316546256365
6100,-15396.555134650971,315.39979132517044
6200,-15356.54181513573,303.37128370185906
6300,-15407.981253695289,303.48470400366733
6400,-15259.303501251637,301.5007826814502
6500,-15296.992803705212,310.6991500252305
6600,-15413.055236760689,314.62597234631625
6700,-15507.517071141709,311.12026068080246
6800,-15314.432264141979,302.08677664209057
6900,-15132.28787222622,291.7768370266882
7000,-15330.539074805854,315.59177906158595
7100,-15097.624709852571,299.72565998234495
7200,-15172.362379820119,300.8280745081211
7300,-15161.128335563786,300.2295889266703
7400,-15139.482418677066,297.2378431171529
7500,-15235.69437026331,310.76109392770206
7600,-15305.697424413978,308.14917362794336
7700,-15437.614337231327,317.2320221871326
7800,-15296.237197695838,311.55321165175974
7900,-15321.254333152756,311.0075737984611
8000,-15343.933776067788,315.4720160167545
8100,-15302.394884271487,299.3628053388871
8200,-15319.068787202516,300.6549223920634
8300,-15353.202005367382,302.5342000680826
8400,-15401.419620127148,323.25290120108474
8500,-15255.481314099226,306.94700640368393
8600,-15358.68442983648,309.72400594640527
8700,-15401.952662234058,315.4875022460813
8800,-15303.485371722256,297.5278724880298
8900,-15357.975666104405,291.37173232975664
9000,-15433.733105598554,302.86899272921033
9100,-15316.357266280527,301.5975984050496
9200,-15186.065419897914,285.331975277068
9300,-15309.332252466327,305.6503827475812
9400,-15287.03357986065,292.9142012276018
9500,-15157.6263741136,296.8322478235516
9600,-15329.512870061562,308.9070787096011
9700,-15290.570940879566,300.95371600490927
9800,-15195.680791477673,290.73710149123417
9900,-15279.362856246777,306.54908643906384
10000,-15122.228947417982,286.2975191486232
10100,-15249.130980522275,299.4098105570783
10200,-15258.249895164327,301.59548688239795
10300,-15347.468680186,295.7269950242725
10400,-15234.152338808695,286.42480340644573
10500,-15436.43254946414,307.9728099994861
10600,-15308.124676167465,297.27733107652216
10700,-15265.207689455267,300.04174124742576
10800,-15396.656140438468,303.80589345580796
10900,-15341.817656050755,301.928246980823
11000,-15428.697566961358,311.5930513303632
11100,-15547.891618896208,314.05102146220753
11200,-15420.890542793939,296.3269803822078
11300,-15401.520673394649,302.35275471317715
11400,-15341.060789291303,293.13909965446345
11500,-15497.878752106806,310.3171045081055
11600,-15276.308501512616,290.94723085093625
11700,-15244.70523022035,299.18482462629163
11800,-15381.254322382703,311.07726723304836
11900,-15475.90118454943,308.93095120828195
12000,-15378.561642520493,290.7833509112483
12100,-15452.744324020368,302.1216091374811
12200,-15427.187892218108,294.2914283196417
12300,-15440.01146092031,293.957828892525
12400,-15472.86123236989,293.26275529153236
12500,-15546.823313641728,309.4088408193163
12600,-15395.286624821812,300.03897514793186
12700,-15337.005672938121,308.41783816717265
12800,-15357.495122208602,316.62816604399114
12900,-15224.964648894773,312.0834217214423
13000,-15260.325192629434,309.9315417220344
13100,-15361.715553447715,306.9488329142157
13200,-15257.079769993747,308.8053091200849
13300,-15258.753638457596,308.1565679438336
13400,-15315.139659569715,306.7105126754364
13500,-15265.283954869854,299.01008758843
13600,-15255.252290012337,299.33980845934354
13700,-15216.479982696987,298.6368523594718
13800,-15458.7811435123,321.19937920590036
13900,-15393.828944635037,306.72533960233864
14000,-15406.447049566983,298.582212903571
14100,-15543.282896010409,300.94587206731774
14200,-15463.434015030221,284.5214471669527
14300,-15423.656253131463,279.79978209586966
14400,-15486.832091263275,297.8701180874787
14500,-15427.182962565477,296.6555820130807
14600,-15307.728192955401,294.77595497036106
14700,-15300.042370667152,292.2630869824042
14800,-15469.923203922315,304.03892876873573
14900,-15395.284837731644,298.0899532834344
15000,-15350.734468718092,289.9148458588598
15100,-15683.481767533289,312.7437896372809
15200,-15352.998948316923,290.3290433310116
15300,-15341.965907227752,294.4216763804917
15400,-15299.657420098478,300.5374675048738
15500,-15356.887758664045,302.70389769100876
15600,-15428.138319189842,305.3091260719359
15700,-15309.547475967152,300.56979889005146
15800,-15160.539871950576,284.4223333153645
15900,-15257.99925380699,302.60978609604575
16000,-15292.567643176424,307.23875633358676
16100,-15321.125252204054,304.82062220256773
16200,-15260.36124142273,301.71036397706104
16300,-15359.004204947832,304.7891179537565
16400,-15326.777072527071,294.8789598116481
16500,-15450.79804584336,297.02380304500633
16600,-15574.841981714446,304.0228380511869
16700,-15443.594875199182,297.97753311255036
16800,-15445.509821451204,299.49900033195036
16900,-15362.91322206185,286.55197485247703
17000,-15463.027683978806,294.5226804965787
17100,-15426.394630440278,296.25932350863457
17200,-15390.502040528794,295.24969069239324
17300,-15370.997165826644,293.1342651401073
17400,-15334.93485694074,295.8837915625968
17500,-15299.895270860963,298.3407476752531
