#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100,-158892.4672778332,100.33228132962236
200,-153537.51960165854,167.17550661228117
300,-149668.1035606646,208.5110248639668
400,-146876.47127838086,237.61151068464818
500,-145255.87774064014,254.83039806815518
600,-143953.7516108453,267.98029226194603
700,-142693.80147032609,275.44524980779676
800,-142649.63069667315,288.066761599524
900,-141679.83734391737,286.6739889361747
1000,-141216.678128526,290.7596447711267
1100,-141095.61484305357,293.1522204769196
1200,-140437.24989246455,291.8722440853528
1300,-140217.84867399398,295.66306367273296
1400,-139774.23171929133,296.1564395286007
1500,-139925.92405563232,301.4804721582302
1600,-139848.89091376986,299.44359976676935
1700,-140041.81798099563,303.99443142526695
1800,-139500.52430599363,299.21289669155647
1900,-139791.5021323364,299.9704289929737
2000,-139574.90815105813,297.2427392271933
2100,-139732.7040241564,301.43435931977234
2200,-138961.60132560928,296.6792132984599
2300,-139618.57514917816,304.77956598565885
2400,-138713.24988482907,297.42432791400694
2500,-139126.98385238196,302.757053359903
2600,-138968.98266227255,304.21515621925994
2700,-138748.10660750634,302.0552362883707
2800,-139073.73950813827,298.3682630163028
2900,-139227.50759478562,298.86149166799714
3000,-139354.05736552738,301.62140173691824
3100,-139562.02568308814,302.05201705095243
3200,-139538.49692217231,300.9753143892821
3300,-139638.1143216638,298.95689065094473
3400,-139493.02247622883,299.2056246130134
3500,-139267.74558908865,289.7228696523608
3600,-139614.30002266544,298.0407612662086
3700,-139347.67163689205,298.2195708737851
3800,-139126.56252327593,298.72975705251133
3900,-138872.89449667322,298.30128398556843
4000,-138896.78952978435,298.7192248824308
4100,-139196.71690320506,304.3647806999009
4200,-139063.9901625768,299.655833822625
4300,-139034.79741942568,297.91143558133564
4400,-139314.2082818041,298.57902773304454
4500,-139132.50316091347,300.32113456728695
4600,-139243.6772459064,295.98645846149736
4700,-138843.36001763662,295.7588921890502
4800,-138681.53247686228,294.7639123358914
4900,-138630.6955381229,301.76071327545316
5000,-138379.0689287715,299.387959528339
5100,-138779.28717472876,304.70090121532763
5200,-138687.1618976812,300.83505077397973
5300,-139042.0466341899,300.4050041597413
5400,-138731.72660730378,301.70119764096637
5500,-139247.20506159458,303.95063216923893
5600,-138670.41896163014,299.9281081781489
5700,-138672.52084142744,298.028597778625
5800,-138374.83232014015,296.09258450913177
5900,-138623.85776054146,300.2926977541746
6000,-138836.01103361326,299.7767412243533
6100,-138919.7970780659,298.18334094133166
6200,-138867.46027644695,299.5432637525917
6300,-138616.972043079,294.0338891111594
6400,-138958.13505163707,301.50930595167455
6500,-139024.71357504846,297.1114442163166
6600,-138998.68055417383,302.005028192753
6700,-139093.2161961008,300.95238157685674
6800,-138797.31570940968,298.1152251309039
6900,-139259.61084621566,298.6128089429218
7000,-139295.49316282585,300.6930138161299
7100,-139579.29098460707,296.5501132127
7200,-139710.29813333362,300.0888197047755
7300,-139344.35028343147,297.07139128505327
7400,-139478.6486303475,303.2480380922869
7500,-139570.49759346657,299.3114490163717
7600,-139423.76235559848,299.5319019997296
7700,-139426.88426025934,300.2357850706246
7800,-139780.19369558548,298.97341793527545
7900,-139436.20496172694,296.8255851521891
8000,-139372.70099846742,298.19665559886784
8100,-138825.78115736775,299.99068730646576
8200,-138644.67242166543,301.8879575083108
8300,-138622.39527467382,303.4420066461736
8400,-138615.9910230542,307.1582072964725
8500,-138297.42747754868,303.07535386352146
8600,-138259.4555622972,300.46150731896546
8700,-138160.153008794,301.07933447824354
8800,-138705.07432080279,306.05069343581
8900,-138205.21125911,300.95970438082014
9000,-139144.26953278325,304.2312744295009
9100,-139055.85497435706,296.9652468366594
9200,-139609.6816274244,299.3444277596283
9300,-139586.0189897624,300.3747703085855
9400,-139541.78766939187,300.16513084392653
9500,-139121.83815829232,298.93704849208234
9600,-139232.36224095724,294.813864294315
9700,-139137.93462409804,297.47379398556035
9800,-139171.0102474177,300.2747456595547
9900,-138876.9380054042,294.8293137957673
10000,-139230.48116858318,301.3988624946006
