#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100,-26994.87392212957,55.0021548572726
200,-26468.29881480866,99.21192993795997
300,-26011.224817559763,136.12483816534436
400,-25700.367094842426,161.0780120440794
500,-25476.41553136561,186.12433137489288
600,-25223.45887242345,206.07411468807524
700,-24816.61919945263,217.25748268515417
800,-24567.15977609757,234.29162008878654
900,-24442.415686140943,248.10556497502762
1000,-24455.975755922904,260.68033600193894
1100,-24258.559543807933,259.8558942076063
1200,-24313.346163744514,284.26831484403874
1300,-23928.316610801674,279.951262430692
1400,-23672.20388065133,276.50626751361574
1500,-23852.65328821534,289.2081969471858
1600,-23721.03376121301,280.31667734977304
1700,-23716.09376396303,288.4487368987773
1800,-23754.055505995115,292.6076721755056
1900,-23590.470142992213,285.06747765585703
2000,-23520.869173011684,279.2580762997533
2100,-23809.53032044362,296.32599971685556
2200,-23577.743449283473,283.0588000949923
2300,-23656.254983010644,296.98095383495206
2400,-23534.643283988524,291.32347238468026
2500,-23394.429065100558,289.27303504447127
2600,-23410.397942801646,289.59816542873165
2700,-23429.024112992163,284.8709405841608
2800,-23525.707384044712,297.3149058071878
2900,-23470.807227799844,297.6824123588378
3000,-23356.951166881656,287.48254546933316
3100,-23387.536014693032,292.6075085688907
3200,-23363.0602770673,289.06513717479913
3300,-23540.05857276189,309.7994274658714
3400,-23232.275143812352,297.64865738918706
3500,-23284.57374905696,310.72834535165606
3600,-23274.333765546733,313.93049073871924
3700,-23159.598392686516,301.6982166572778
3800,-23163.075323926925,303.3073157377143
3900,-22904.264079886896,296.6487206615713
4000,-23056.60633376747,308.28291810497524
4100,-23068.553003619367,307.30392451073004
4200,-23091.170811426302,301.18948390320645
4300,-23052.597094200726,300.38601039486497
4400,-23160.869186311436,297.0584134000427
4500,-23174.478956566134,292.6467953098218
4600,-23278.565706935187,298.2499787682335
4700,-23249.40439646918,298.17177930407024
4800,-23217.747701159387,297.5696273814218
4900,-23304.369445749966,294.6887510762254
5000,-23257.285281112127,292.3546454503619
5100,-23289.833726138517,296.5821157602243
5200,-23123.104611708724,294.7823532741149
5300,-23264.66661137779,304.63778801472586
5400,-23056.23933025374,290.47409408577266
5500,-23101.342676138913,296.34048745069657
5600,-23079.74949884246,294.0755541449376
5700,-23169.767691619403,304.96161049358074
5800,-23114.44253499637,305.4378879892501
5900,-23165.515713328205,308.623406614505
6000,-23039.932645409775,300.93849924534055
6100,-22978.694995034428,311.64707530073855
6200,-22896.425281438453,300.90615616264625
6300,-22856.203165598854,296.04953794320255
6400,-23008.973671650456,294.20008794112573
6500,-23069.402165019594,300.9149940512353
6600,-22980.287738459127,295.4524738793062
