#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100,-11256.207902643753,88.42270252248152
200,-11062.301657492615,133.34182905798852
300,-10485.672500111781,163.22157785060188
400,-10313.028091793956,190.2457235171764
500,-9979.13858755989,211.03837067140893
600,-9808.333578478121,231.3565696400333
700,-9818.567283070213,236.08485734207642
800,-10064.706580500122,257.0737239112248
900,-9834.172955724318,265.5392966779387
1000,-9320.862382512783,265.1190034827567
1100,-9131.126092652215,272.71641020219323
1200,-9645.68972692588,277.265107768445
1300,-9242.146866774718,279.46692567240643
1400,-9239.940151879477,276.70915306768995
1500,-9129.27138266704,279.7862173380222
1600,-8816.89547344495,281.7593710723562
1700,-9188.52978606256,294.38450513615925
1800,-8923.63167625268,289.050279425305
1900,-8818.591218188472,296.1761425456176
2000,-8907.192607722081,308.060939909514
2100,-7842.555392618316,298.4832717961397
2200,-8562.375217693534,293.6852779596019
2300,-8736.078299196146,309.3155560793414
2400,-8606.681302418074,291.1760279120739
2500,-8556.577590114532,296.7752047748231
2600,-8811.68691372987,305.25542387740484
2700,-8459.014060200736,296.7260152779258
2800,-9070.96820437235,309.335347026673
2900,-8554.098851850471,297.2491272789138
3000,-8678.387246653261,272.1628210920403
3100,-8423.279783003307,286.9317010199197
3200,-8866.296615346213,303.92262480803436
3300,-8709.31575606532,291.8011775157057
3400,-8922.815021627739,305.1772337658061
3500,-8718.589604864497,289.7797937049786
3600,-8697.78045564345,286.2822028144402
3700,-8494.366960488533,294.6099396039485
3800,-8484.18007123024,291.7811289119347
3900,-8489.23097672327,298.1438412681176
4000,-8450.438972760792,312.9532100296751
4100,-8758.677822378795,299.80190598820957
4200,-8590.924023505375,283.28403801509876
4300,-9099.362633648474,285.66314145514207
4400,-8629.7674680193,281.0195422115759
4500,-8395.050230768145,292.4344989111283
4600,-8621.131956936213,285.5270946041134
4700,-8724.585826687222,297.01910100258107
4800,-8539.089974180653,294.87857415654594
4900,-8870.81191807318,289.2200344704146
5000,-8734.906053657214,277.0952816729136
5100,-8803.058452940611,299.1843039257984
5200,-9009.799873493423,304.5269734025776
5300,-8972.805804624688,292.365867941332
5400,-8816.770752648685,304.75551948941626
5500,-8753.60392347406,311.8864121228525
5600,-8743.807291606041,315.03188058483653
5700,-8789.529392435159,316.99600248769
5800,-8294.030474180603,298.78202233035233
5900,-8674.164239572605,304.4109187511935
6000,-8976.979501247955,295.19265988997245
6100,-8314.753663669147,298.38444309013346
6200,-8953.469318099516,301.02269758864594
6300,-8632.24279146262,295.8378969322507
6400,-9206.36699268662,305.76642140472376
6500,-8443.814278977818,288.0923435798504
6600,-8942.442256686667,304.12842421695
6700,-8556.830707396766,314.1139474213418
6800,-8700.171203003338,309.764271433101
6900,-8625.519295710194,313.5631063498223
7000,-8666.839355857148,293.5075944142665
7100,-8720.425450647694,298.2805014665145
7200,-8623.414539843237,306.5897006187916
7300,-8667.948272339412,303.5220400122277
7400,-8786.74398584514,300.41580779288523
7500,-8690.876499691647,303.96403013829973
7600,-8656.061801192685,308.0221356293964
7700,-8293.880095981704,307.03134032058784
7800,-8256.871370869387,312.07121596612205
7900,-8302.837208195046,315.0685725762335
8000,-8821.029481262442,310.516786648316
8100,-8236.619343889051,308.1335078009974
8200,-8442.081286602926,302.7603705303426
8300,-8599.85957465953,301.783612257091
8400,-8841.231175091958,314.16505909541945
8500,-8484.263486950771,312.7651409030961
8600,-8453.540755764425,297.32189955114484
8700,-8359.556305280308,292.0619962389934
8800,-8899.739422907373,308.85539275619976
8900,-9030.619916709917,280.9311349778577
9000,-9023.869590629529,287.24105636677206
9100,-8748.728139650637,285.648837684769
9200,-8882.221150263409,289.84878150338074
9300,-8340.988806345467,295.69820066583645
9400,-8728.624060513695,293.4998354832031
9500,-8320.487362036994,301.12136396993975
9600,-8664.365452835817,299.8846155621226
9700,-8545.972961150448,290.4782734899586
9800,-8104.235592247919,295.1168536012867
9900,-8276.955371793852,302.6253493374429
10000,-8712.34984995039,288.1256735670888
10100,-8805.84064214018,313.8535347671426
10200,-8979.748577281427,309.6611390994154
10300,-8043.616088288714,308.2794029850583
10400,-7765.965612177437,290.0796747951616
10500,-8277.729358749228,319.99224890012323
10600,-8625.213622734282,295.69141932467807
10700,-8522.615749643075,296.87612186648084
10800,-8470.144238002382,302.0603218117144
10900,-8520.085527261994,318.5745971816705
