#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1,-14705.89625262954,1.7789521226616156,27.0
2,-14712.609339843904,3.8177802800501897,27.0
3,-14715.80978071273,6.079247691441929,27.0
4,-14708.604197475146,8.499474331663064,27.0
5,-14692.408509673194,10.808388393771752,27.0
6,-14676.943515810952,13.177259373005455,27.0
7,-14650.65430706013,15.29428821854289,27.0
8,-14649.819444404558,17.563522148553044,27.0
9,-14634.459030306367,19.843404865946557,27.0
10,-14606.890949732086,21.599451755085035,27.0
11,-14567.545916842548,23.619933860375607,27.0
12,-14499.386351798901,25.69671652468175,27.0
13,-14433.765370327637,27.497863938762293,27.0
14,-14329.42500515881,29.20551831829753,27.0
15,-14183.00314840256,31.46440812174709,27.0
16,-13999.90641209083,33.42588645437394,27.0
17,-13623.76758077793,35.686988534665,27.0
18,-12498.316168300207,37.61070790906655,27.0
19,-8371.17248442883,39.63108738057718,27.0
20,8127.464062164036,41.69011138976709,27.0
21,69974.20662361017,43.81917272174754,27.0
22,261447.73150793964,45.81824479454287,27.0
23,663110.4111287505,47.35512641168675,27.0
24,1062823.318483262,49.197487191911385,27.0
25,2751824.194978133,4.9119482434095055e+20,27.0
