#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-36894.56804335633,258.02110343400943
2000,-34884.10563629949,286.63321041415384
3000,-34640.276068865336,299.9087172410758
4000,-34348.74814877033,290.26810249949244
5000,-34338.99998154923,296.9201232878331
6000,-34546.05059140059,302.8988892321302
7000,-34620.3439983017,295.3108931011213
8000,-34479.31156135718,298.4771174685612
9000,-34507.89002408039,302.7906150065919
10000,-34429.17536603517,299.67513200552617
11000,-34281.15379685937,301.99663267206944
12000,-34451.15786836908,297.79952051642016
13000,-34341.83059660781,308.5296737012552
14000,-34387.29660273153,299.0499053449959
15000,-34448.76281006498,294.8091004627349
16000,-34060.37045646567,297.622510944368
17000,-34464.696087251534,313.75891242872564
18000,-34722.63690024973,300.0434212256748
19000,-34091.015658141514,294.5439163730816
20000,-34144.18753021476,312.5438278222483
21000,-33893.82398771319,301.7597754737002
22000,-34100.504935567405,299.6903063657276
23000,-34402.29476720397,313.39772136669995
24000,-34271.4962384228,302.1673582414199
25000,-34358.19866744862,304.9625427734023
26000,-34243.35917264805,293.1547227027127
27000,-34451.20919741656,298.3737657291306
28000,-34491.679301663695,306.6492767125705
29000,-34454.10169949115,310.884233409659
30000,-34184.89994880673,292.9488840212781
31000,-34334.959038163426,302.01931345773215
32000,-34521.76185132979,303.99690371138774
33000,-34666.69609907153,292.2786578882149
34000,-33980.145072471474,292.56536584689997
35000,-34476.05830629723,307.10078431111884
36000,-34364.998400001925,294.7784194742156
37000,-33989.86231582054,293.0981548275906
38000,-34239.85777187491,301.19390055148835
39000,-34440.12106886672,307.32628729725207
40000,-34227.340526102744,292.1972658460182
41000,-34543.361928848484,306.58228807946995
42000,-34380.32474895608,297.9293261732772
43000,-34467.568491558166,294.0885702754815
44000,-34384.482480243554,297.8860809965245
45000,-34320.816325259795,306.15370724494386
46000,-34544.63403158726,307.0919335720616
47000,-34417.66132327982,295.7932895810844
48000,-34435.91447850633,301.4762035865984
49000,-34349.09583208433,306.7993188635625
50000,-34541.789288169384,301.3614549480878
51000,-34350.23182178276,301.66682820348996
52000,-34303.63562696232,300.3546674379677
53000,-34464.321571985136,312.10524938485315
54000,-34588.33726344106,309.8948671171771
55000,-34644.790632299424,302.4189847565771
56000,-34241.006659162376,297.8184567841635
57000,-34227.02518364497,302.6606066170969
58000,-34334.6995549828,301.42245248332483
59000,-34343.71128025654,299.63648244888043
60000,-34304.835857680104,297.6500250253699
61000,-34360.385099061314,304.15014965417527
62000,-34162.29071126172,297.19541737013503
63000,-34265.58522710397,304.16614077412265
64000,-34703.071820789715,296.3841397054971
65000,-34737.68517483405,298.86286760954977
