#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1000,-36777.76687742811,244.02506636054508,27.0
2000,-35150.72263009218,280.2056192722812,27.0
3000,-34980.51538542631,301.21537826815427,27.0
4000,-34308.80319801491,301.8532393789253,27.0
5000,-34425.94525671046,312.2284714300588,27.0
6000,-34665.09356422881,307.2895460847417,27.0
7000,-34591.82939151381,298.0774623470249,27.0
8000,-34630.8194573399,298.8675872441486,27.0
9000,-34710.91057746681,310.7344283763501,27.0
10000,-34440.32736012598,307.3498742650453,27.0
11000,-34324.205492950765,303.66717787689566,27.0
12000,-34279.84512821181,298.2835677580283,27.0
13000,-34324.50641407553,302.21020360410256,27.0
14000,-34368.11846068595,298.02387957955585,27.0
15000,-34167.79641190072,300.53050191276446,27.0
16000,-34177.74927668479,291.7911246218386,27.0
17000,-34394.69545438139,305.417035908584,27.0
18000,-34358.6199689421,302.70330423541816,27.0
19000,-34317.19101769049,301.173375295051,27.0
20000,-34492.36720136601,304.8423596310738,27.0
21000,-34518.53862218909,304.4357812159379,27.0
22000,-34466.02544489772,294.83118367986697,27.0
23000,-34608.06142872658,299.9648732282837,27.0
24000,-34274.859958847686,302.6774642198765,27.0
25000,-34805.073475232464,298.8757909632555,27.0
26000,-34388.56292451745,292.88666002578384,27.0
27000,-34375.13380068315,301.72970466759597,27.0
28000,-34378.05140218772,314.7128439167624,27.0
29000,-34375.66027218608,293.76229108490116,27.0
30000,-35037.061753981034,298.32329954276753,27.0
31000,-34594.16023360042,294.17102380210486,27.0
32000,-34535.31487692146,291.4878501636573,27.0
33000,-34483.81821836529,279.7226701852386,27.0
34000,-34436.02836667916,304.081534401049,27.0
35000,-34603.25920940928,294.2999866472702,27.0
36000,-34504.867277240905,305.9851949016691,27.0
37000,-34663.80257438712,309.09143128618956,27.0
38000,-34316.93853923153,300.7901875644337,27.0
39000,-34514.734014965026,290.4305242954225,27.0
40000,-34515.86030387871,301.1614972266776,27.0
41000,-34457.65566625972,300.3854096051746,27.0
42000,-34366.851548212086,301.0536207720516,27.0
43000,-34167.96374516605,300.63760762759546,27.0
44000,-34346.79955521328,295.48189148678046,27.0
45000,-34217.3744970144,291.3582383664475,27.0
46000,-34251.07815572102,308.3353102939119,27.0
47000,-34271.39009892271,304.4106458283433,27.0
48000,-34565.17859827927,307.75035661049986,27.0
49000,-34529.56888996901,292.1400708612277,27.0
50000,-34534.34535942487,296.5785648343113,27.0
51000,-34514.73924233761,291.5629764053323,27.0
52000,-34453.680909398936,295.8257371597629,27.0
53000,-34074.06620042348,299.70764283605337,27.0
54000,-34475.448460471,304.98836870189825,27.0
55000,-34237.221806361646,299.4772758856693,27.0
56000,-34203.972531005194,304.5748371746372,27.0
57000,-34401.12844545098,299.63133769236623,27.0
58000,-34232.5785667574,308.7596668071558,27.0
59000,-34552.55415334693,296.4871199635154,27.0
60000,-34230.220528517944,307.31959772724167,27.0
61000,-34564.95503787672,301.62266152946154,27.0
62000,-34596.68095593694,292.219078650882,27.0
63000,-34437.22199404327,300.3727769054277,27.0
64000,-34293.701330643285,303.6736255698936,27.0
65000,-34459.69091908247,299.7034615912273,27.0
