#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-36979.83034248117,240.97949763720808
2000,-35158.89502397293,292.23602097145886
3000,-34638.21443568748,289.2562107017745
4000,-34300.77596931859,299.3787191283176
5000,-34090.79239747711,291.1530765162704
6000,-34488.41706016498,305.7884033974985
7000,-34556.11173594929,295.26041419841374
8000,-34560.70128305878,309.3741441020547
9000,-34402.47453307737,298.9212626769642
10000,-34457.64365626524,292.81230875621594
11000,-34633.90902491548,301.548568372299
12000,-34510.47520684701,287.92270516765865
13000,-34349.58082842322,306.52316488240245
14000,-34410.916593586975,302.7427901911931
15000,-34599.21934013572,317.0573766460183
16000,-34239.03940223129,298.3466491990638
17000,-34386.292221529664,305.11581406071696
18000,-34601.08544459224,305.02664599401777
19000,-34264.474177062446,299.472001118198
20000,-34601.91448221612,305.7277736036176
21000,-34367.647688508856,300.77134463270426
22000,-34513.49390269182,294.2318492878438
23000,-34662.18882745953,296.7854856107038
24000,-34431.69399327541,293.0494280029954
25000,-34463.45233472258,312.3195274711583
26000,-34384.56066634702,295.9113441384831
27000,-34408.05973186878,297.68561620855104
28000,-34399.54820392566,303.79355877977963
29000,-34721.899091824955,300.79592002342196
30000,-34427.42973619654,294.901936588494
31000,-34463.14143195167,298.3218034205684
32000,-34306.15045068443,288.671459662321
33000,-34155.25324960216,300.31156922900226
34000,-34507.4977231435,300.5788031539696
35000,-34441.45717215713,307.00943554482495
36000,-34269.08408498139,305.47456293765134
37000,-34380.8031350328,297.4439272531756
38000,-34494.45281933406,303.89992109867677
39000,-34222.063000860646,302.370945055138
40000,-34275.725764884424,295.08351435837216
41000,-34656.85470172818,292.3424649122233
42000,-34127.75667319558,299.2944373110113
43000,-34403.19281248683,301.2802286684769
44000,-34445.87165058673,312.3139303895702
45000,-34484.54895364935,294.4537249366149
