#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-37092.576952277326,256.1577742173503
2000,-35032.77022331285,276.79445132584505
3000,-34643.69095118828,290.61498932147407
4000,-34600.93341978186,298.0048911545659
5000,-34317.72031918778,312.69676433189926
6000,-34098.88678340972,288.27477856592594
7000,-34263.049304197026,300.3999554769125
8000,-34171.420820359235,297.3743569410781
9000,-34163.15335564233,296.93369074826666
10000,-34150.552647421544,294.6400552205167
11000,-34254.03745234201,303.61232942428825
12000,-34103.848182986716,294.20809489280157
13000,-34548.14462531826,299.1780159893994
14000,-34674.02038277514,310.87991577824647
15000,-34273.053614182914,300.4440411253842
16000,-34429.74289278074,305.80368177270213
17000,-34460.63808322506,290.8685992278435
18000,-34734.03746453627,298.18928227310676
19000,-34070.32330256588,290.9117402678405
20000,-34389.104209207544,299.1302959995629
21000,-34533.27575062663,298.2337991858894
22000,-34322.734930478946,302.8897302475493
23000,-34576.20913681017,304.92262505217093
24000,-34268.4021183503,293.6772556685363
25000,-34547.437678283066,308.5066934715397
26000,-34354.60386435058,308.3198204658173
27000,-34359.44358807853,289.78245848169263
28000,-34592.104730047606,298.9992420945585
29000,-34439.538663509185,297.2717920676199
30000,-34250.64455680038,294.17153949699275
31000,-34518.13549038154,298.9232372282839
32000,-34362.86443910525,298.13334637572615
33000,-34086.916117116525,289.7425487775084
34000,-34380.336772311995,299.15324609934396
35000,-34305.676208895144,296.11972404406777
36000,-34404.56822847704,295.93601746430096
37000,-34554.59922566995,299.47500491811576
38000,-34405.36781814573,293.8197634384407
39000,-34208.3571956258,291.77358215609496
40000,-34168.37730173984,306.00731091730717
41000,-34235.75562756174,301.8183434882666
42000,-34350.36659467743,308.1836750011281
43000,-34532.961149180206,305.20158589742806
44000,-34308.544696855264,304.20008664230085
45000,-34477.4524319626,300.28451081323374
46000,-34255.34861836294,301.63993089544545
47000,-34127.02688627249,294.139635489194
48000,-34572.136981212185,304.63096405616005
49000,-34717.334822131976,312.87571531725024
50000,-34586.97628328991,299.0442120567486
51000,-34577.98177819911,304.0951020104224
52000,-34577.37991402603,296.5356385282415
53000,-34882.341173919216,291.91909665541317
54000,-34699.56449438728,300.4288622447877
55000,-34490.28968844714,291.0912966984487
56000,-34209.09362422289,299.8118430816077
57000,-34603.9010345209,295.21511691969994
58000,-34397.264336754895,297.6017043998813
59000,-34556.481341679944,294.4023554829717
60000,-34463.219711143945,302.650561770917
61000,-34244.54270104104,299.7568921864009
62000,-34198.92269227053,289.02006926592725
63000,-34264.02448507568,302.1718592723194
64000,-34163.96424316041,286.75669868095054
65000,-34238.39469963043,299.37616118176976
